key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,p,1,0.49967,,,,,,,,9_dist_green/trial11.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.10466,0,30,30,43,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.59259,,,,,,,,9_dist_green/trial20.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.10456,0,31,31,52,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.601145,,,,,,,,9_dist_green/trial7.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.089455,0,32,32,39,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,0.539865,,,,,,,,0_targ_16_dist_green/trial20.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,2.559365,0,33,33,144,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.669155,,,,,,,,0_targ_4_dist_green/trial6.png,,0,4,greenverival,a,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.09575,0,34,34,94,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.509075,,,,,,,,0_targ_10_dist_green/trial22.png,,0,10,greenverival,a,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.098455,0,35,35,123,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.50553,,,,,,,,0_targ_16_dist_green/trial10.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.10815,0,36,36,134,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.55825,,,,,,,,3_dist_green/trial17.png,,1,3,greenverival,p,easy,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.12905,0,37,37,26,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.472445,,,,,,,,9_dist_green/trial22.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.205425,0,38,38,54,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.50128,,,,,,,,0_targ_16_dist_green/trial3.png,,0,16,greenverival,a,hard,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.137725,0,39,39,127,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.506895,,,,,,,,9_dist_green/trial19.png,,1,9,greenverival,p,mid,605d8056fdf44e1e528b0e7e,25,male,2021-05-03_12h09.57.988,search_v5,2021.1.2,Win32,144.1753172,,,space,0.175695,0,40,40,51,1,,,,,,,,,,,,,,,
