key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,1,1.748825,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.424735,0,29,29,135,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.40928,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.343295,0,30,30,123,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.63144,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.43597,0,31,31,82,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,1.970595,,,,,,,,tex_hard_TP/1.6_r=200_phi=315_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,2.72035,0,32,32,40,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.501755,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,5.005965,0,33,33,10,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.32337,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.668305,0,34,34,8,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,0,1.817085,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.217695,0,35,35,148,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.12352,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.48776,0,36,36,105,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.90317,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.0015,0,37,37,137,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.98258,,,,,,,,tex_mid_TP/1.65_r=200_phi=225_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.91793,0,38,38,60,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.950285,,,,,,,,tex_easy_TP/1.7_r=250_phi=225_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.656125,0,39,39,18,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.99504,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.267335,0,40,40,94,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.38291,,,,,,,,tex_mid_TP/1.65_r=350_phi=90_seed=2.png,1,p,mid,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,0.70052,0,41,41,71,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,2.03033,,,,,,,,tex_easy_TP/1.7_r=400_phi=135_seed=3.png,1,p,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.19331,0,42,42,28,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,2.38032,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.00044,0,43,43,121,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.647235,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,1.05379,0,44,44,122,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,2.35064,,,,,,,,tex_hard_TP/1.6_r=300_phi=225_seed=1.png,1,p,hard,texture,5d9338fc2f873000165f8e95,30,female,2021-05-03_11h24.25.540,search_v5,2021.1.2,Win32,60.09976561,,,space,2.9798,0,45,45,44,1,,,,,,,,,,,,,,,,,
