key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,tarPos,targPres,numDist,targetName,correctAns,difficulty,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,a,0,0.63192,,,,,,,,15_dist_green/trial7.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.67,0,36,36,62,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.99896,,,,,,,,0_targ_10_dist_green/trial25.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.299415,0,37,37,126,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.884045,,,,,,,,9_dist_green/trial25.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.284205,0,38,38,57,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.581915,,,,,,,,15_dist_green/trial14.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.27117,0,39,39,69,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,1.29721,,,,,,,,0_targ_16_dist_green/trial5.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.32975,0,40,40,129,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.65683,,,,,,,,0_targ_4_dist_green/trial10.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.259125,0,41,41,88,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.69704,,,,,,,,0_targ_16_dist_green/trial19.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.258625,0,42,42,143,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.69996,,,,,,,,9_dist_green/trial11.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.274835,0,43,43,43,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.59342,,,,,,,,9_dist_green/trial21.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.30596,0,44,44,53,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.76654,,,,,,,,9_dist_green/trial3.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.451665,0,45,45,35,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.600375,,,,,,,,0_targ_4_dist_green/trial9.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.333165,0,46,46,87,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.717625,,,,,,,,3_dist_green/trial22.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.320665,0,47,47,31,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.65033,,,,,,,,0_targ_10_dist_green/trial17.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.295795,0,48,48,118,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.63083,,,,,,,,0_targ_4_dist_green/trial13.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.317,0,49,49,91,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.63358,,,,,,,,3_dist_green/trial4.png,,1,3,greenverival,p,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.34121,0,50,50,13,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.5495,,,,,,,,0_targ_4_dist_green/trial14.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.37629,0,51,51,92,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.71958,,,,,,,,0_targ_16_dist_green/trial12.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.353125,0,52,52,136,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.61421,,,,,,,,0_targ_4_dist_green/trial18.png,,0,4,greenverival,a,easy,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.30396,0,53,53,96,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.799745,,,,,,,,0_targ_10_dist_green/trial24.png,,0,10,greenverival,a,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.29746,0,54,54,125,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.63246,,,,,,,,9_dist_green/trial12.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.33467,0,55,55,44,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,0.623585,,,,,,,,0_targ_16_dist_green/trial9.png,,0,16,greenverival,a,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.333995,0,56,56,133,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.599495,,,,,,,,15_dist_green/trial20.png,,1,15,greenverival,p,hard,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.30129,0,57,57,75,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.58808,,,,,,,,9_dist_green/trial4.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.268125,0,58,58,36,1,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.732585,,,,,,,,9_dist_green/trial1.png,,1,9,greenverival,p,mid,5f5e32a0d6a12c6857b8e127,25,male,2021-05-03_03h03.09.501,search_v5,2021.1.2,MacIntel,60.0024001,,,space,0.30087,0,59,59,2,1,,,,,,,,,,,,,,,
