key_resp_6.keys,key_resp_6.rt,key_resp_7.keys,key_resp_7.rt,key_resp_8.keys,key_resp_8.rt,key_resp_10.keys,key_resp_10.rt,key_resp_9.keys,key_resp_9.rt,key_resp_14.keys,key_resp_14.rt,key_resp_3.keys,key_resp_3.rt,key_resp_5.keys,key_resp_5.rt,key_resp.keys,key_resp.corr,key_resp.rt,key_resp_12.keys,key_resp_12.rt,practice.thisRepN,practice.thisTrialN,practice.thisN,practice.thisIndex,practice.ran,ImageFile,targPres,correctAns,difficulty,targetName,participant,age,sex,date,expName,psychopyVersion,OS,frameRate,key_resp_13.keys,key_resp_13.rt,key_resp_4.keys,key_resp_4.rt,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,trials_2.ran,condsFile,targName,instructionText,stimExample,posit,size,stimSize,practiceFile,tarPos,numDist,key_resp_15.keys,key_resp_15.rt
,,,,,,,,,,,,,,,,p,1,1.401,,,,,,,,tex_easy_TP/1.7_r=400_phi=90_seed=3.png,1,p,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.692,0,24,24,31,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,0,5.282,,,,,,,,tex_hard_TP/1.6_r=400_phi=90_seed=1.png,1,p,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,1.82,0,25,25,51,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,8.004,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.618,0,26,26,145,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,5.454,,,,,,,,tex_mid_TA/1.65_r=TA_seed=2.png,0,a,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.684,0,27,27,87,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,6.229,,,,,,,,tex_hard_TP/1.6_r=400_phi=225_seed=1.png,1,p,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.656,0,28,28,49,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,5.483,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.673,0,29,29,108,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.432,,,,,,,,tex_easy_TP/1.7_r=250_phi=135_seed=3.png,1,p,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.687,0,30,30,17,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,0.747,,,,,,,,tex_hard_TP/1.6_r=50_phi=225_seed=1.png,1,p,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.567,0,31,31,56,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,4.859,,,,,,,,tex_hard_TA/1.6_r=TA_seed=1.png,0,a,hard,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.685,0,32,32,139,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,3.479,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.567,0,33,33,118,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,a,1,4.324,,,,,,,,tex_easy_TA/1.7_r=TA_seed=3.png,0,a,easy,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.57,0,34,34,9,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.803,,,,,,,,tex_mid_TP/1.65_r=400_phi=315_seed=2.png,1,p,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.668,0,35,35,73,1,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,p,1,1.739,,,,,,,,tex_mid_TP/1.65_r=200_phi=45_seed=2.png,1,p,mid,texture,60245c7c3df42d131232cedb,50,female,2021-05-03_11h56.27.782,search_v5,2021.1.2,Win32,60.0240096,,,space,0.534,0,36,36,62,1,,,,,,,,,,,,,,,,,
